f,Y
-202,0.48
-201,0.49
-200,0.5
-199,0.51
-198,0.52
-197,0.53
-196,0.54
-195,0.55
-194,0.56
-193,0.57
-192,0.58
-191,0.59
-190,0.6
-189,0.61
-188,0.62
-187,0.63
-186,0.64
-185,0.65
-184,0.66
-183,0.67
-182,0.68
-181,0.69
-180,0.7
-179,0.71
-178,0.72
-177,0.73
-176,0.74
-175,0.75
-174,0.76
-173,0.77
-172,0.78
-171,0.79
-170,0.8
-169,0.81
-168,0.82
-167,0.83
-166,0.84
-165,0.85
-164,0.86
-163,0.87
-162,0.88
-161,0.89
-160,0.9
-159,0.91
-158,0.92
-157,0.93
-156,0.94
-155,0.95
-154,0.96
-153,0.97
-152,0.98
-151,0.99
-150,1
-149,1
-148,1
-147,1
-146,1
-145,1
-144,1
-143,1
-142,1
-141,1
-140,1
-139,1
-138,1
-137,1
-136,1
-135,1
-134,1
-133,1
-132,1
-131,1
-130,1
-129,1
-128,1
-127,1
-126,1
-125,1
-124,1
-123,1
-122,1
-121,1
-120,1
-119,1
-118,1
-117,1
-116,1
-115,1
-114,1
-113,1
-112,1
-111,1
-110,1
-109,1
-108,1
-107,1
-106,1
-105,1
-104,1
-103,1
-102,1
-101,1
-100,1
-99,1
-98,1
-97,1
-96,1
-95,1
-94,1
-93,1
-92,1
-91,1
-90,1
-89,1
-88,1
-87,1
-86,1
-85,1
-84,1
-83,1
-82,1
-81,1
-80,1
-79,1
-78,1
-77,1
-76,1
-75,1
-74,1
-73,1
-72,1
-71,1
-70,1
-69,1
-68,1
-67,1
-66,1
-65,1
-64,1
-63,1
-62,1
-61,1
-60,1
-59,1
-58,1
-57,1
-56,1
-55,1
-54,1
-53,1
-52,1
-51,1
-50,1
-49,1
-48,1
-47,1
-46,1
-45,1
-44,1
-43,1
-42,1
-41,1
-40,1
-39,1
-38,1
-37,1
-36,1
-35,1
-34,1
-33,1
-32,1
-31,1
-30,1
-29,1
-28,1
-27,1
-26,1
-25,1
-24,1
-23,1
-22,1
-21,1
-20,1
-19,1
-18,1
-17,1
-16,1
-15,1
-14,1
-13,1
-12,1
-11,1
-10,1
-9,1
-8,1
-7,1
-6,1
-5,1
-4,1
-3,1
-2,1
-1,1
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0.99
151,0.98
152,0.97
153,0.96
154,0.95
155,0.94
156,0.93
157,0.92
158,0.91
159,0.9
160,0.89
161,0.88
162,0.87
163,0.86
164,0.85
165,0.84
166,0.83
167,0.82
168,0.81
169,0.8
170,0.79
171,0.78
172,0.77
173,0.76
174,0.75
175,0.74
176,0.73
177,0.72
178,0.71
179,0.7
180,0.69
181,0.68
182,0.67
183,0.66
184,0.65
185,0.64
186,0.63
187,0.62
188,0.61
189,0.6
190,0.59
191,0.58
192,0.57
193,0.56
194,0.55
195,0.54
196,0.53
197,0.52
198,0.51
199,0.5
200,0.49
